gamma0,UMV,LRP,PDDi,WeertC,model,slc
9618.882299,2.06E+20,0.0007158110488,0.01959005894,22300.78404,cosmos,6.225787044
159188.5414,7.97E+20,0.0005273064933,0.016819248,13110.00177,cosmos,16.31258546
159188.5414,2.37E+19,0.0003959650859,0.01197851588,16585.21943,cosmos,10.73377297
471264.2917,6.49E+20,0.0006618007492,0.01355036591,31568.73903,cosmos,6.05810718
159188.5414,3.21E+20,0.0001022167927,0.01814896501,39836.39122,cosmos,-4.943914031
86984.00071,1.49E+20,0.00034441569,0.01992940821,28201.90951,cosmos,2.164277904
159188.5414,8.87E+20,2.14E-05,0.01271047993,44002.9993,cosmos,-2.367530171
86984.00071,6.58E+20,0.0002943009074,0.01727433303,50219.64408,cosmos,-0.2901293686
86984.00071,1.08E+20,0.0005212907124,0.01718284559,58869.63885,cosmos,-2.833211588
159188.5414,7.19E+19,0.000647430458,0.01974020607,14564.48006,cosmos,14.30788277
9618.882299,2.56E+20,0.0001770793962,0.01573544076,57976.1709,cosmos,-9.906379955
86984.00071,9.92E+20,0.0004776064834,0.008196905718,44984.03262,cosmos,0.1491469831
86984.00071,6.59E+20,9.13E-06,0.01581673364,37845.75785,cosmos,-5.839872369
21005.34364,8.67E+20,0.0003861732893,0.01031156988,28644.13627,cosmos,0.947159788
86984.00071,3.97E+20,0.0006733401169,0.01365115296,11788.66899,cosmos,17.6886897
21005.34364,3.95E+18,0.0002748625694,0.009265380492,55329.60532,cosmos,-9.64376194
86984.00071,3.86E+20,0.0004898406253,0.008247968298,46705.01399,cosmos,-1.848685589
21005.34364,1.18E+19,0.0007474532182,0.01923532624,33688.46672,cosmos,
159188.5414,1.10E+20,0.0003487416937,0.009455541255,35893.34528,cosmos,1.769110568
9618.882299,3.78E+20,0.0006325173789,0.01172940514,13538.0634,cosmos,13.91243619
159188.5414,6.01E+20,0.0005155521823,0.01147366702,40469.04694,cosmos,2.617469527
471264.2917,5.98E+20,0.0007067850312,0.01856780918,57726.91524,cosmos,
14477.33676,9.73E+20,0.0002880637541,0.01893830157,48511.13188,cosmos,-3.642449249
9618.882299,6.38E+19,0.0002214795209,0.0140499266,29226.79605,cosmos,-0.9656349925
14477.33676,7.76E+19,0.0001319131798,0.008877433583,34257.01652,cosmos,-4.780756059
471264.2917,9.41E+20,8.70E-05,0.009948269085,17146.58342,cosmos,11.11976903
471264.2917,2.64E+20,0.0001648746403,0.01832536171,56722.24988,cosmos,-6.369605942
14477.33676,1.94E+20,0.000445147469,0.008974009088,36284.82477,cosmos,
14477.33676,7.65E+20,7.80E-05,0.008540029656,41688.20902,cosmos,-9.176063136
14477.33676,9.84E+20,0.0007632712295,0.01660640202,61706.95591,cosmos,-2.462777142
471264.2917,3.06E+20,0.0004996050504,0.0116883553,30646.734,cesm,1.998668983
471264.2917,7.30E+20,0.0005362013101,0.01414706657,25595.84133,cesm,
9618.882299,9.66E+20,0.0004019533484,0.01540604586,47173.55578,cesm,-5.594895915
14477.33676,8.40E+20,0.0004620619087,0.01151908929,9529.476147,cesm,20.584559
9618.882299,8.46E+20,0.0005649674856,0.01627811448,56981.26246,cesm,-7.710128508
159188.5414,1.59E+20,0.0006057641673,0.0151353135,22085.39579,cesm,
