,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.04409886636,0.1023786566,0.0455620627,0.01750903746,-0.003486996137,0.02115354692,-0.02237095825,-0.003381278295,0.003893282746,0.09286654587,-0.01440348391,-0.0167101703,-0.01345952114,-0.001902717912,0.1240323235,-0.02422248537,-0.01649630484,0.02433346374,-0.01112276067,0.08207960183,-0.003743889906,0.01806911113,0.0002809903028,-0.0001922746028,-0.02250869638,0.0288125513,-0.001455218619,-0.01135984856,-0.03116791543,0.008570732643,0.1148394448,0.1468852403,0.1036464845,0.274140754,0.1156606209,0.1514832738,0.1009535215,0.1268781979,0.1209565589,0.1021778012,0.1314944737,0.1231142751,0.1256688602,0.129497443,0.15516807,0.07749897751,0.1127904376,0.1409771731,0.08449328004,0.1182028085,0.1439304212,0.2183723815,0.3832381023,0.122351384,0.1749194733,0.08497099545,0.06273051941,0.1223537137,0.0694387038,0.1049936278,-0.005234859179,0.07899698143,-0.04792625848,-0.01374190493,-0.03049686365,-0.01746639369,-0.02514713718,-0.05225886683,0.0003887423274,0.1826125997,-0.05256784068,-0.03805983282,-0.0188442697,0.137417831,-0.005636578408,0.03915704794,-0.03796250786,0.215635043,-0.03113286253,-0.02588258414,-0.04336134362,-0.001615715697,0.02304569709,0.0354448502,-0.0217158691,0.1011751221,-0.01311247366,-0.0240274259,0.01515315511,-0.02109608744,-0.03264884193,0.0213650401,-0.04923365977,0.3792389771,-0.03860439495,-0.0332335669,-0.02957190416,-0.03008110714,0.01194410825,0.215028246,-0.009344100861,-0.03230050353,-0.0001081078441,-0.03150233115,-0.03895886091,0.0125847974,-0.04024571861,-0.02058144611,-0.02493684993,-0.03060831205,-0.03159524418,-0.0256917166,-0.0314249621,0.005175294728,-0.02929362612,0.09291309427,-0.01662885415,-0.02766103653,-0.02875729958,-0.04593579663
30,0.09087600108,0.2859280341,0.1232223017,0.04427223635,-0.03024953162,0.03409402678,-0.08116173465,-0.03060521028,-0.01223805266,0.2550874227,-0.07133896288,-0.0650698622,-0.06262171324,-0.03618423672,0.33522328,-0.09472166173,-0.06566016786,0.038108524,-0.04701325527,0.2059125837,-0.02535848752,0.04127441354,-0.03071274878,-0.03500452584,-0.09446647318,0.09422474183,-0.01672956006,-0.06232910314,-0.11779925,-0.007717294486,0.2558575352,0.3309363777,0.155835477,0.6575873413,0.1791937452,0.3312504266,0.1581817953,0.2546028337,0.2160756377,0.1306059895,0.2433168168,0.2041279293,0.2067759273,0.1973626527,0.3382112352,0.1099432153,0.2090185234,0.2713075141,0.1486984479,0.3101586518,0.259424268,0.5188089704,0.9782626286,0.2502347127,0.3472892247,0.1672267132,0.08533064863,0.2967333234,0.09987449426,0.1704955587,-0.03444825331,0.1753795522,-0.164768566,-0.05753680427,-0.135830972,-0.07771967762,-0.1149222726,-0.1721045525,-0.02214496012,0.4573649387,-0.1650133409,-0.1423854318,-0.103852267,0.3368318716,-0.02743581028,0.1180546602,-0.1545203846,0.5380334043,-0.1307751427,-0.1245492921,-0.1512865441,-0.05547365255,0.06145990744,0.1091603501,-0.1106968457,0.2505173391,-0.07113159022,-0.121242639,0.04118797281,-0.09906867938,-0.1255491697,0.08058960337,-0.1746019802,0.09670726368,-0.1441919759,-0.1181191423,-0.10436253,-0.1168253776,0.01717497808,0.6112221963,-0.02697202926,-0.125631177,-0.03458244728,-0.1191568846,-0.1281971283,0.040860316,-0.1467178803,-0.09085321824,-0.1078430302,-0.1182266477,-0.1143782924,-0.09649854915,-0.1237896692,-0.02300612132,-0.1049596384,0.2903543547,-0.08357364634,-0.1196438011,-0.1117553879,-0.1664246792
60,0.1823605486,0.6294363172,0.3110056539,0.1581296219,-0.02259128448,0.103090192,-0.1245267606,-0.03938378237,-0.008054808062,0.5758394449,-0.1424882346,-0.1046462399,-0.09533547175,-0.0656692087,0.6710767824,-0.1823566788,-0.1068504488,0.0830656503,-0.05210833251,0.3898628197,-0.01068524492,0.1102790799,-0.05982490711,-0.06686644001,-0.1852844674,0.3225495331,-0.001241401183,-0.1209360921,-0.2308965322,-0.01689467924,0.456895587,0.6019560155,0.1905615708,1.179913734,0.225347688,0.6569939208,0.2005909521,0.4872357355,0.3494446473,0.1290952685,0.3950199938,0.2975124778,0.3341636822,0.2611062727,0.5977858163,0.1269545403,0.3820153866,0.4969122497,0.2348924363,0.6273068577,0.4026216884,0.9261431411,1.889914157,0.4008793479,0.5525153302,0.2852935829,0.1146775459,0.5592888851,0.1130105625,0.2339693529,-0.06406331284,0.3026691316,-0.3178945152,-0.07119715808,-0.2948350194,-0.1390761777,-0.2473241076,-0.3219523702,-0.009354637921,0.8371070272,-0.291226242,-0.278090086,-0.2234739205,0.6113118495,-0.0239642969,0.341469627,-0.3250092593,0.9910705389,-0.2698909832,-0.2635617037,-0.2854926815,-0.1218315241,0.1918832884,0.3243633103,-0.2459681996,0.4713488943,-0.1283244617,-0.264553425,0.1832710392,-0.2024967325,-0.2535029081,0.3363160086,-0.3545825827,0.3015684359,-0.2939142307,-0.2232552244,-0.176812939,-0.2409308805,0.08108083763,1.393621992,0.07169483153,-0.260638036,-0.06565191901,-0.2408024698,-0.2285174936,0.2128294042,-0.2963778245,-0.1844920747,-0.2195501064,-0.24370116,-0.2133503455,-0.1741254835,-0.253327069,-0.04479689637,-0.1947401566,0.7586870995,-0.167553812,-0.2451226564,-0.2262705395,-0.3442279944
90,0.2812280412,1.017073136,0.5528742847,0.2667089062,-0.002499485002,0.1951272983,-0.1454866505,-0.04022718198,-0.001265961065,0.9153494989,-0.2161845345,-0.1153901373,-0.1039200855,-0.07274226663,1.060057496,-0.2560686095,-0.1202828272,0.1347687537,-0.01416948591,0.5788416911,0.02871054969,0.1480663955,-0.09262102066,-0.08793110867,-0.2588252372,0.5733564127,-0.01263010265,-0.1641508322,-0.3303879483,-0.0291292185,0.5771466526,0.7899433445,0.1928034211,1.677719174,0.2314876128,0.9151086277,0.2076288314,0.6560028082,0.4232862309,0.09277170619,0.5223801024,0.3869285996,0.4186857141,0.3145037943,0.7673903349,0.1279817236,0.5294431776,0.6555284364,0.3196625304,0.8594084595,0.4866793535,1.335760363,2.846209244,0.47557977,0.6751926639,0.416849222,0.1573698345,0.7419872088,0.1030034147,0.2553876319,-0.09117326156,0.4462743011,-0.4515925757,-0.06883108215,-0.4415103305,-0.1749766259,-0.3647775509,-0.4442592151,-0.005811901337,1.211469932,-0.3955865407,-0.3967813376,-0.3191901348,0.882916936,-0.02445553306,0.5903380515,-0.4783346496,1.440014597,-0.3855920392,-0.3735943973,-0.3918816554,-0.1556616698,0.2997887772,0.5624412132,-0.369292941,0.7241826676,-0.1406286016,-0.3924002761,0.361259352,-0.2762304139,-0.368340678,0.5981196595,-0.5269895264,0.9279476388,-0.434166367,-0.2910524214,-0.1559258659,-0.3572334567,0.2633818429,2.170406551,0.1973681778,-0.3902630415,-0.07490854612,-0.3498769994,-0.2619747709,0.4046625315,-0.4341553798,-0.2646773439,-0.3167339425,-0.3629182818,-0.2691674519,-0.1966413295,-0.3688671868,-0.04623864535,-0.2453874591,1.209170598,-0.2331098045,-0.3543209141,-0.328411769,-0.5173445696
120,0.377233408,1.387608471,0.792765543,0.3835471584,0.01292628417,0.2871416523,-0.1739016681,-0.04824232572,-0.004053537319,1.244013694,-0.2913032399,-0.1166990081,-0.110410326,-0.06190387179,1.461594643,-0.3213388006,-0.1258669248,0.1870175965,0.0209683362,0.7819761851,0.06309090389,0.1814075157,-0.124620922,-0.09935332741,-0.3158583674,0.814479883,-0.02779563278,-0.1943461504,-0.4176493447,-0.04323384119,0.6909051508,0.9548790404,0.1924894476,2.21627086,0.2271068345,1.136295894,0.2117285306,0.7906043659,0.4734143378,0.05228891423,0.6654542801,0.4676800394,0.467264378,0.3491448451,0.9229728447,0.1378118747,0.6438092975,0.7729524956,0.4207463925,1.072478451,0.5423352851,1.800140003,3.655945992,0.5276629125,0.7733949352,0.5882592491,0.2199972053,0.9212623234,0.09362442019,0.2444206566,-0.1166513826,0.6172772994,-0.587592692,-0.07051915684,-0.5664485009,-0.2114271687,-0.4571352356,-0.5674686368,-0.00338685626,1.595665484,-0.5057936843,-0.5175816605,-0.389830478,1.16167974,-0.03658508208,0.8267421403,-0.6043486289,1.905276594,-0.4758757447,-0.4452770527,-0.4996967858,-0.1451609943,0.4027434003,0.8012989967,-0.4707465242,1.021411201,-0.09593978715,-0.4949603341,0.5349598638,-0.30748192,-0.4619963925,0.8576955994,-0.6840718649,0.7976493297,-0.5568526039,-0.3231460017,-0.1303572097,-0.4590347849,0.4345948269,2.858024327,0.3333809006,-0.5103127819,-0.05633479706,-0.441036592,-0.2865183451,0.5982394103,-0.5519158595,-0.3215978519,-0.3963995455,-0.4712731699,-0.2798659271,-0.1641416475,-0.4672298896,-0.01945251623,-0.2552299159,1.633106243,-0.2740537365,-0.446260867,-0.4099867618,-0.6808906958
150,0.4831099009,1.745364137,1.037847563,0.5169878224,0.02754639802,0.3829674367,-0.1995308413,-0.06022931428,-0.01308655607,1.56681261,-0.3670313463,-0.1209804136,-0.1197982582,-0.04442098628,1.849739521,-0.3852672365,-0.1332744597,0.2465413992,0.05679875525,0.9883561871,0.102956769,0.2192361373,-0.1545966505,-0.107558793,-0.3644094447,1.059763589,-0.03816535293,-0.2188813447,-0.4986602239,-0.06100839369,0.814090309,1.13657687,0.1776015794,2.754320249,0.2046504982,1.34993565,0.1898110865,0.9276402601,0.5271357133,0.0009030652909,0.8051051105,0.5270167283,0.5125069104,0.3634894945,1.079664396,0.1319682795,0.7402022145,0.8907236128,0.5446770847,1.277070829,0.5944463302,2.261662724,4.379892999,0.5819998742,0.8689113752,0.7420533795,0.2548904239,1.119882379,0.0785809429,0.2171289907,-0.1395969514,0.8086535465,-0.7267385885,-0.07332975503,-0.676011496,-0.2470811662,-0.5336145075,-0.6897920251,0.01318548294,1.99284105,-0.6112731082,-0.6417049234,-0.45934968,1.453836763,-0.03315453859,1.064150176,-0.7217309083,2.381800301,-0.5631897799,-0.5031706616,-0.6083993103,-0.1078496103,0.5190496981,1.037803953,-0.5587981457,1.354267524,-0.04417565678,-0.5779160854,0.7026313058,-0.3236537878,-0.5292434053,1.113270271,-0.8253726641,1.281154864,-0.664595409,-0.355956793,-0.09620164919,-0.5470268787,0.6083221358,3.493206298,0.4854940658,-0.6196952839,-0.01482592816,-0.5119634168,-0.3031640828,0.7996719579,-0.6465135835,-0.3526569058,-0.456061125,-0.5671152954,-0.2894079741,-0.1359057899,-0.5458932427,0.03361353817,-0.2615379987,2.054708025,-0.2883723795,-0.5236097457,-0.4720105483,-0.8342846831
180,0.6046142539,2.09932282,1.269271519,0.6465618023,0.05968681225,0.4877493559,-0.2184902226,-0.06574239297,-0.01893751335,1.894718765,-0.4396115441,-0.1236519216,-0.1237928096,-0.0197131833,2.230138748,-0.446105876,-0.138009319,0.3148465748,0.09823164041,1.192556963,0.148285108,0.2508642381,-0.1792866083,-0.104935758,-0.408824807,1.309395076,-0.05014829896,-0.236724475,-0.5735384254,-0.0770975251,0.9283703063,1.307888857,0.1497976346,3.229147984,0.1719523982,1.570432494,0.1578331661,1.070551675,0.5940485418,-0.06140094492,0.9224092008,0.5872176747,0.5780236845,0.3799889953,1.243809952,0.1200895131,0.846442917,1.023099021,0.6381226081,1.49790127,0.6581444123,2.669794824,5.038807572,0.6331329335,0.9607237171,0.8868138216,0.2876326905,1.308245901,0.04868842388,0.1927591489,-0.1578552161,1.017799444,-0.8634613382,-0.06909117675,-0.7820942233,-0.2810506253,-0.6048065263,-0.8104026493,0.04313732459,2.388170792,-0.712692561,-0.7593307766,-0.5293830887,1.753712302,-0.01181900016,1.311829649,-0.8418770045,2.870956426,-0.6498959716,-0.5590270552,-0.7150467148,-0.07651022947,0.6497272437,1.281281471,-0.6434673255,1.674024499,0.004377693018,-0.6541839752,0.8812836316,-0.337330406,-0.5803909209,1.375204196,-0.9535047496,1.733145197,-0.7630260724,-0.3818797132,-0.04816436545,-0.6227511056,0.7987522995,4.098958354,0.6604431189,-0.7202948354,0.05031085129,-0.5730206638,-0.3087794717,1.013957375,-0.7250050206,-0.3667285055,-0.4965638337,-0.6517464902,-0.2849215625,-0.0909714658,-0.6071263744,0.1100278183,-0.2602065472,2.473411082,-0.2779086148,-0.5867804792,-0.5223867421,-0.9780259289
210,0.7385650742,2.450630881,1.49984532,0.7762501357,0.09460493977,0.599379825,-0.227177593,-0.0618817434,-0.01791043819,2.226697275,-0.5094259167,-0.1250742558,-0.1181218915,0.01150670975,2.594875183,-0.5028374041,-0.1387423143,0.3853743827,0.1480681965,1.399110924,0.2011513774,0.285100163,-0.199245403,-0.09231287109,-0.4457922021,1.555400116,-0.06570480149,-0.2495632901,-0.6446565402,-0.09188003798,1.02806979,1.451747007,0.1230152805,3.669172071,0.1382708282,1.786068748,0.1265538719,1.211253305,0.668940495,-0.1212425174,1.041595493,0.6457596452,0.6557129145,0.3997035366,1.38269966,0.1075752147,0.9591008279,1.161203973,0.7293391089,1.705093713,0.7444943526,3.048737706,5.647417369,0.6722599386,1.055723192,1.025581237,0.3240730892,1.471574423,0.01781698777,0.1796007728,-0.1727881382,1.231169626,-0.9945181013,-0.05385889971,-0.8883686504,-0.3150338338,-0.6798637101,-0.9269566108,0.08490683566,2.790589153,-0.8021848344,-0.8757919077,-0.5940347662,2.050233042,0.01834640264,1.549632841,-0.9570679788,3.340894159,-0.73163583,-0.6105393461,-0.8174248349,-0.04731966179,0.7827193673,1.518053883,-0.730247513,1.97419888,0.06166726517,-0.7323171218,1.050036814,-0.3481979949,-0.620117545,1.638411919,-1.072472218,2.173739263,-0.8514974517,-0.3949816972,0.01868803733,-0.6863630238,0.9883540509,4.666971779,0.8354305744,-0.811968121,0.1331062182,-0.6263888535,-0.2885896487,1.250304283,-0.7963615832,-0.3710544588,-0.5213294672,-0.7270860714,-0.2648547596,-0.02477131344,-0.6533234012,0.2048622427,-0.246981558,2.875241587,-0.2558962534,-0.6371782604,-0.5632365651,-1.111648801
240,0.8754421633,2.809952076,1.737444,0.9044638453,0.1380962086,0.7209723629,-0.231190153,-0.04805462767,-0.006400318002,2.56755423,-0.5757256317,-0.1169569106,-0.1094915045,0.04715337815,2.945358093,-0.5596469192,-0.1322328598,0.4606901335,0.1998576702,1.609621415,0.2574532236,0.3248548092,-0.2136359489,-0.07267868573,-0.4799363523,1.804761748,-0.07647910217,-0.2587420532,-0.7120501434,-0.1041702855,1.111376116,1.588096942,0.09879114279,4.077473981,0.1107145792,1.986104915,0.1006745363,1.350098007,0.7597620781,-0.1794038603,1.156798507,0.7154359159,0.7459265686,0.4340038803,1.508867287,0.0988495967,1.082624906,1.304450752,0.8216999042,1.89160719,0.8575149402,3.40632272,6.220229454,0.7095463211,1.136365354,1.155490999,0.351557221,1.615164146,-0.01150095097,0.1956153336,-0.1837452825,1.437355948,-1.117054045,-0.03270459909,-0.991197203,-0.3407572556,-0.7491931325,-1.03251461,0.1245122962,3.181876345,-0.8866139421,-0.9874208965,-0.6594767828,2.355408148,0.0419864016,1.77496493,-1.06746253,3.77665413,-0.813154062,-0.6584201135,-0.9114900245,-0.009946970229,0.9263962117,1.739731625,-0.8137551739,2.267286298,0.1203670873,-0.8080485997,1.213488539,-0.3528078366,-0.6531573432,1.910066079,-1.181056567,2.608030722,-0.9343656067,-0.3897169855,0.1014670391,-0.7406943692,1.180778214,5.210124353,1.011405957,-0.8954341655,0.2272927092,-0.6734916974,-0.2467068397,1.484246788,-0.8592507974,-0.3695950409,-0.5340247492,-0.7931439251,-0.2264371515,0.0461343348,-0.6912637334,0.3092097506,-0.2158072344,3.277063973,-0.2277537815,-0.6770566386,-0.5962252059,-1.235866162
