,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065,066,067,068,069,070,071,072,073,074,075,076,077,078,079,080,081,082,083,084,085,086,087,088,089,090,091,092,093,094,095,096,097,098,099,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
30,-0.06863325674415019,0.11940277534072696,0.00793446936746279,-0.11296357166051404,-0.12741717895895463,-0.10125419302381242,-0.13181370932497855,-0.13609082143562262,-0.1393357835225954,0.06400913594547114,-0.1389332800536692,-0.13247184185433392,-0.12349745714754401,-0.10276577302420323,0.19176636605783176,-0.1329073779640909,-0.13407364415640635,-0.1164685383187924,-0.12106533432984996,0.10323448517731745,-0.12824152949118325,-0.14121056880462443,-0.13449613951532421,-0.10448467565323458,-0.11728231741866485,-0.008000988593553844,-0.14055051339652855,-0.12103972581085029,-0.12909524047398918,-0.13982562373483143,-0.11065454893362096,-0.09180614392387014,-0.13356145929163926,0.38860426019389693,-0.13934418049390598,-0.06763233508214626,-0.14009329370765194,-0.09471280114812956,-0.1260925288171348,-0.12953758069774385,-0.053725613548592024,-0.1055562288284912,-0.11251976774593653,-0.11588269743368342,-0.09022435275266782,-0.12813866750295674,-0.09564435936484564,-0.09924437993968027,-0.03625660201574303,-0.03500448984537018,-0.1313088556118424,0.2927448102436518,0.6255595446676536,-0.13395862006101486,-0.12479827827219515,-0.06100263139514573,-0.09244656759838978,-0.08857054506520413,-0.13786017135193976,-0.1404483237198256,-0.07758957771296507,0.14304102291494097,-0.141236259629144,-0.12521586280754451,-0.1374553809676047,-0.1331491393305686,-0.13410566217661024,-0.13608309142777902,-0.12021847402588708,0.4444613104873253,-0.1323265975821679,-0.13955071068181843,-0.1376537319642446,0.34357832446128944,-0.1277137586511898,0.07682509967556203,-0.13761323933386013,0.540390953851087,-0.13781441898791222,-0.1144279908450238,-0.1357201305587326,-0.04399881164454234,-0.08355112962761631,0.04652215844088315,-0.13839550043770094,0.2520947690873902,-0.012206246466394052,-0.12915857401581535,0.01865971754059992,-0.1076545584717679,-0.12761165831582813,0.027475734378160952,-0.13644385300829281,0.22069452770731401,-0.14069629290603797,-0.1386842715124293,-0.1141974658440552,-0.13869552251773828,-0.04844699579257791,0.4699006618879362,-0.07756472805576217,-0.14014869850050773,-0.02095782649156697,-0.13907691555957424,-0.13385316941389966,-0.05993586669033119,-0.13367056819840792,-0.1235228562916239,-0.11006571411354985,-0.1363427278218472,-0.13093231950147688,-0.11975301339965938,-0.1220711769699334,-0.010296666044441315,-0.13538750759673174,0.16392921968545432,-0.10105244049893651,-0.0723810611428642,-0.13610612690551724,-0.13916091657764884
60,-0.14550134135657436,0.20604078219943278,0.0015678384190237924,-0.24203395838400843,-0.26971579549443675,-0.21518480291106426,-0.27794742756578666,-0.28481233290440455,-0.29266293191128645,0.10183027375723795,-0.29007968911685483,-0.2781322783613213,-0.26063176302057056,-0.21543407654116378,0.3395041343361686,-0.28017564477931606,-0.2803945938319569,-0.24321674079524516,-0.25665648132383734,0.17761387324147712,-0.27066515814952763,-0.29758697993721855,-0.27993113904899686,-0.21864452935780357,-0.2457295350605935,-0.02617415592468433,-0.2965459083675479,-0.25342973530162627,-0.2694724827328391,-0.29218688254633696,-0.23694091053712457,-0.19747908799910657,-0.27841639510197874,0.7031535434136257,-0.2901537771599119,-0.14900440104357673,-0.2908478996188308,-0.20367865892683765,-0.2669117439474619,-0.2704561614810121,-0.11468461322435775,-0.2214881000668606,-0.2379953109763099,-0.24225623808050972,-0.1953837926194694,-0.26756567718880103,-0.20452482695248958,-0.2120901234017505,-0.07885427451710274,-0.08072800280832287,-0.27640177781861736,0.5291310188806496,1.1264216227310684,-0.2820155738412757,-0.2645619656123042,-0.13070812128244505,-0.19549495651730733,-0.19238296745769068,-0.28708308129280496,-0.29434683796266364,-0.1655726409500135,0.2507642390587289,-0.2952511733621181,-0.2648805706827737,-0.28565322945468,-0.2786762730662643,-0.2798125706415745,-0.28498354584720975,-0.2561598451193969,0.8078406574564636,-0.2788225308954707,-0.293239318870394,-0.28721805186326255,0.6223549806051644,-0.2705496484119232,0.12629451529965116,-0.2864442742147298,0.9792562419852863,-0.28782094121250085,-0.23985768109717506,-0.2843366372084795,-0.09529462804730299,-0.18015762871192378,0.07046343571536959,-0.2884231202897823,0.4525878578371063,-0.032553230167389494,-0.2689445134050064,0.02057582717590267,-0.22503115067844853,-0.2675396737886003,0.037288817403996116,-0.28466226954868323,0.39816212463814704,-0.29331973923418925,-0.29079254815569516,-0.24306619301296334,-0.28791335233124193,-0.10939960095273665,0.8545428587643145,-0.16868358789018584,-0.29212508689590994,-0.04948433980680848,-0.2897755269988809,-0.2821651726939913,-0.13150010810464985,-0.2795831638940449,-0.25785313487873757,-0.22955978242864994,-0.28373112827623015,-0.27415012037306025,-0.2528974652641246,-0.2547885033244679,-0.028653797481196706,-0.28309016273889775,0.2884703537580819,-0.21159455821202794,-0.1537329372262191,-0.28412978323750115,-0.29073731453349694
90,-0.20949814743710296,0.29281405069359984,-0.0022507921750630983,-0.3623596420740422,-0.40576580391092465,-0.31961078293685874,-0.4197621955618542,-0.42934361329263376,-0.4415720181052322,0.14231133064064908,-0.43612900484884815,-0.4185175505324458,-0.3917162150948393,-0.31774857839344955,0.4832364825511007,-0.4212685339403669,-0.4215604621666369,-0.35860294778535423,-0.38484699609809464,0.250320491015083,-0.40610224443638254,-0.45049431482100577,-0.41976252135774655,-0.3226474587521185,-0.36470370716330025,-0.03798838144909563,-0.4508193010676089,-0.37685813983887145,-0.40200566177497926,-0.43863126595515356,-0.3545828017880715,-0.29404676253935896,-0.41581797424348566,0.9942988468103614,-0.43442852284981387,-0.217518241803208,-0.43675379986258983,-0.30363455546106455,-0.4011778009289257,-0.4039800367091186,-0.16283961925991203,-0.32754726110789234,-0.3552972068582578,-0.36028280505477067,-0.28863381727621756,-0.39923609129127247,-0.30250939966242907,-0.3163396516778105,-0.11303536249087322,-0.11610642715743068,-0.416280189857709,0.7521441540879316,1.5708414405907112,-0.4258973307715204,-0.3978212063279268,-0.18654421017283293,-0.28780855010693085,-0.28367631440416596,-0.4292195516360714,-0.4447862097156014,-0.24012918284365056,0.3561290677353601,-0.4461247337789512,-0.3971430147494238,-0.4278960231360733,-0.4190942213485035,-0.41762548128930277,-0.43007187650142686,-0.3846818180557067,1.137804817674412,-0.4214522546401897,-0.44373323272979515,-0.4303912185251161,0.8819478656829715,-0.40711595347586554,0.17791033331395348,-0.42872063543390626,1.3742101561599216,-0.4315240003988369,-0.35410449018832313,-0.4287790696637245,-0.13620997204695112,-0.2662598867723188,0.09582225520674112,-0.43171690561318643,0.6429825889494074,-0.0483702922287933,-0.40149831438829,0.02456092923598023,-0.3316310269300229,-0.3994875417459258,0.05060482134819761,-0.4270037707973734,0.5714547867649742,-0.4415290530442744,-0.4377484909449036,-0.36446080707938694,-0.4310084922419917,-0.16014627548809934,1.2028330956455369,-0.24885860168081644,-0.43804650797476896,-0.0724111632581321,-0.43388627095416626,-0.4258417864526601,-0.19277699150453204,-0.41904546019343425,-0.3842086289478345,-0.3387106162290288,-0.4236901882014956,-0.41154902043080055,-0.37692001510899015,-0.3795966313731894,-0.04404721014216664,-0.425562548447756,0.4150721411701589,-0.31173574794091363,-0.22144276688183576,-0.4253359239412104,-0.4373864254111542
120,-0.26395079388371767,0.37967078922491687,0.0007202612809612452,-0.47283194177553706,-0.5347289310912057,-0.4132890062937699,-0.555484048690303,-0.568118782304699,-0.58527805951482,0.18758645911268526,-0.5733792815150854,-0.5509781991233925,-0.5149291685154528,-0.41037650797205383,0.6238811643806871,-0.5526770239360822,-0.5550613756801054,-0.46535054232117196,-0.5058238846430826,0.3244798507886491,-0.5344015803935419,-0.5982753112606692,-0.5501760284725181,-0.41509433312439664,-0.47493770816873665,-0.04316875302234306,-0.6008821596914751,-0.49049010576365076,-0.5256450433880046,-0.575741644276422,-0.46170183975858425,-0.3814165792517543,-0.5442438669606384,1.2627144681555937,-0.5696058448646831,-0.27669988463016504,-0.5733450670348319,-0.39399461194775776,-0.5288291765248424,-0.5267856159688649,-0.20465226866864267,-0.42500214687114507,-0.46323288444223215,-0.4705165782180301,-0.3713126821370182,-0.5208265968161049,-0.3905034752849214,-0.41122421000553666,-0.1387447130260912,-0.14395477422788783,-0.5496538749864409,0.9625694670560111,1.9749410552222944,-0.5641357808087155,-0.5226576919583112,-0.23537015506352485,-0.3704038267482743,-0.3635317022640824,-0.5613984983875688,-0.5897114851322007,-0.30641964950402495,0.460582248871643,-0.592800353701945,-0.5215823217372102,-0.5603062804872762,-0.5516722068719211,-0.5456456576431029,-0.5696589860247859,-0.5055389560587942,1.4430410124719082,-0.5577508774625684,-0.589924087881867,-0.5654456153388294,1.126088819257639,-0.5357565984752711,0.23394126817903413,-0.5620776098146865,1.7373887414317075,-0.5664003005332294,-0.459561229290868,-0.5678344943754443,-0.17074113245838166,-0.34310276902715725,0.1272754632362638,-0.5648289114149256,0.8243824046374012,-0.06204520308270212,-0.5236780975869821,0.03662159294509018,-0.42879607178859624,-0.5231799657463784,0.0736805549921659,-0.561520273292557,0.7372019879141594,-0.5818620197938428,-0.5785178119003305,-0.4784380062045544,-0.5646891722052165,-0.20357931835028217,1.5257356611108701,-0.32026409349831,-0.5744886001901999,-0.09387337053357173,-0.5697999564924038,-0.5632868908078836,-0.24687392820582954,-0.5501374562520915,-0.5017710809762496,-0.43911436411208676,-0.5529728754767568,-0.5416147145234027,-0.4929414164172239,-0.4939016631087434,-0.05815957412501399,-0.5609326610530745,0.5412647160731404,-0.4024257614579534,-0.28069553424959237,-0.5570875376350571,-0.5748481430466672
150,-0.31333554191221685,0.4689292627834783,0.010638718025936146,-0.5740362615726355,-0.6577421887518625,-0.49879872293371064,-0.6854084904609052,-0.7013053274223014,-0.7210486012999365,0.23531421749334488,-0.701692387979009,-0.677324051479128,-0.6323463218546931,-0.4960161428034458,0.759140855786982,-0.6744026374944597,-0.6827144527501906,-0.5624176578606844,-0.619875530415203,0.4009752224541989,-0.6561556855175097,-0.7402731786564537,-0.6693984392259956,-0.49899579845498726,-0.576417148761786,-0.041417810474121235,-0.7458409874074694,-0.5954935361887717,-0.6401317915906647,-0.7043881794471344,-0.5596956751145689,-0.46060794601801713,-0.6619383062721609,1.5164859150807328,-0.6954300590462947,-0.3297267439765141,-0.7007304640952808,-0.4768946286839524,-0.6500269503956079,-0.6401733504045991,-0.24191524040297138,-0.5142926488631483,-0.5641570530400574,-0.5721031180880028,-0.44519446937379326,-0.6334766049634715,-0.4706619241827596,-0.4984302754638408,-0.16046256564558736,-0.16429273523661653,-0.6770958955361452,1.163192846715299,2.3528396994726806,-0.6954260197212445,-0.6404144478255073,-0.27983626242134674,-0.4463365245532187,-0.4349210524219083,-0.6831138152409537,-0.7292549725816481,-0.36594639541614604,0.5634259816436993,-0.7340019334246585,-0.6388581143493272,-0.6819291257160175,-0.6779572557401735,-0.6620138022160833,-0.7037897377441489,-0.6177646599861539,1.7313917629317443,-0.6883239387875669,-0.7308064658539459,-0.6901268389367278,1.3548396055636254,-0.656219653836509,0.292595691850929,-0.6860770472622033,2.0763371550192358,-0.6921577264445036,-0.5570399831440885,-0.7009340556395875,-0.19976338644778638,-0.41273792546725074,0.16346052768433267,-0.6887652367013462,0.9981621568565421,-0.07124595241042912,-0.6354424554713409,0.05364613972308545,-0.5171362931755343,-0.6376194219088374,0.10242110267188595,-0.6865563076472256,0.8969508813017865,-0.7151303883006486,-0.7135471658218098,-0.5854629305139701,-0.6878557764990161,-0.24233919302949283,1.830391166966833,-0.38443969407287787,-0.7035256589819936,-0.11014301038273026,-0.6958691462444097,-0.6952611955423673,-0.2945192794914498,-0.6724187739107585,-0.6098183912060255,-0.5302757946763117,-0.6714907522270299,-0.6650439554777711,-0.6021478849987729,-0.5999854869938633,-0.0665745649157999,-0.6896395944862294,0.6637695797308908,-0.4860464978548885,-0.3342604627318411,-0.6784159028180644,-0.704592271286729
180,-0.35764149282734475,0.5570156743216352,0.024553098149591435,-0.6674275878483403,-0.7754673124134908,-0.5778716886308924,-0.8099562966157398,-0.8288342144680071,-0.8501122176261837,0.2865138700586499,-0.8232461425370711,-0.7977417696519654,-0.7438257935003187,-0.5750825634607227,0.8891628385014329,-0.7888560927954076,-0.8043823335722983,-0.6519028518957534,-0.7276856209619356,0.4752578395390836,-0.7725285777204689,-0.8755913692365915,-0.7815115689887149,-0.5764741934395857,-0.6691622731313627,-0.034968652239828556,-0.8838232097174353,-0.6915469392917861,-0.7472432274576923,-0.8270755959511623,-0.6501627154275782,-0.5313168364000449,-0.772043925407064,1.7599912792175674,-0.8150689253225374,-0.37748968885555895,-0.822987143758724,-0.5537561144408324,-0.7654133330784434,-0.7445848456329998,-0.27451251760106465,-0.597016222630201,-0.6592186920353328,-0.6660674748711153,-0.5123376993595525,-0.7389302472180563,-0.5448932961098854,-0.5800457521702725,-0.1787932961110023,-0.1786457149844847,-0.7986129766610616,1.3552279565956904,2.709220658141243,-0.8186057899068351,-0.7499896585310057,-0.32095488163027436,-0.5171131594209721,-0.4989924950915498,-0.7979668534847485,-0.861281516328909,-0.41977866436943667,0.6638584592266257,-0.8680551549376091,-0.7502900717184673,-0.7978930433287602,-0.798104819657261,-0.770187490670855,-0.8319655073239585,-0.7218751901186735,2.006403715369976,-0.8136809269265827,-0.8643591544140455,-0.8079009248377426,1.5758711683401014,-0.7690316661432942,0.35318265577904684,-0.8040918905106172,2.3965343799848466,-0.8120808524199608,-0.6467739896754136,-0.8275157720325664,-0.2245043625399163,-0.4738553832514375,0.20393731680231691,-0.8063012686369286,1.166108836489216,-0.07420648695376779,-0.7380455773492063,0.07509950809033288,-0.5987500738789955,-0.744918835552825,0.135349304164776,-0.8049951593974916,1.05421050930846,-0.842180680166389,-0.8415179356123174,-0.685642125262289,-0.8057751361235838,-0.27621655731885364,2.1198267783636604,-0.44074792524737627,-0.8255259517724806,-0.12127615554986837,-0.8153767912436115,-0.8215481682497398,-0.334967503031729,-0.7863241336825414,-0.7107942045408358,-0.6140888106673922,-0.7826212503281871,-0.7819388014886527,-0.704837182479128,-0.6978680528714811,-0.06914050184647041,-0.8125537170958106,0.7838967584947931,-0.5617179144315199,-0.38276058813906333,-0.792758881255349,-0.8277995175777594
210,-0.3973469450413525,0.6449112343642431,0.04183732634779565,-0.7545521008180212,-0.8869349464007811,-0.6518224479088991,-0.9288249205895515,-0.9500273218236833,-0.9720972216028501,0.33819936766721387,-0.9381218317109585,-0.9118508124249786,-0.8490869641613131,-0.647524537247217,1.0160709985139524,-0.8972575368208532,-0.9199597478458557,-0.733110848212711,-0.8294004900050328,0.5496715366932108,-0.8826119589378648,-1.0042832156727677,-0.8882258001888738,-0.6476356850314842,-0.7555486415756495,-0.024561314106681123,-1.0158245990300039,-0.778830516110763,-0.8460398902212153,-0.9437792837644413,-0.7352740899125922,-0.595597911652082,-0.8754351213847368,1.9953756950919226,-0.9269868527975683,-0.4213736454734186,-0.9376928340305075,-0.6251805513029788,-0.8745180171038683,-0.8421340357249271,-0.30132602783662593,-0.6724316461430515,-0.7492291000693612,-0.7525442059635142,-0.5732046105133044,-0.8343670224370521,-0.6140144903077907,-0.6562060770040018,-0.19542259647751697,-0.18899414150334543,-0.9144390399016364,1.5414987736577141,3.0476672774571028,-0.9352933140706112,-0.8527127152449484,-0.3556592721106564,-0.5817243504379837,-0.5572148474116599,-0.9067179702454126,-0.9865138582490324,-0.468729723573319,0.7626652457871851,-0.9963124012613289,-0.8548980767480236,-0.9081275983479468,-0.9118376451924933,-0.8710075810423616,-0.9530415659125991,-0.8193821442080057,2.267203467944418,-0.9331031095692135,-0.99139978046589,-0.9198571718079493,1.7902818604194244,-0.8754983548967428,0.41528614042718337,-0.915716885438916,2.7031320676134607,-0.9257399810350634,-0.7279563906745786,-0.9470541187201794,-0.24597191956282832,-0.5286480679296555,0.24626976982609208,-0.9158181251736301,1.3281666472348848,-0.0729904121282635,-0.8329995715966511,0.09968561596296197,-0.6747378738486115,-0.842698627600435,0.17150822667827129,-0.9165979812646126,1.2085490741467755,-0.9635393472733057,-0.9620077067197101,-0.7801277381310938,-0.9169752097954286,-0.3047434099190472,2.3960403476873213,-0.49141090689478323,-0.9408008347409154,-0.12780525983582441,-0.9284287872949637,-0.9413253935057012,-0.3688460254413255,-0.8936974195028479,-0.8038483379839441,-0.6925295052801508,-0.8877477581701814,-0.8926241187792457,-0.8018965027908062,-0.7885875027966397,-0.06977627596752063,-0.9289514428898359,0.902451721525542,-0.6313825289986231,-0.42725103115253305,-0.9010151690697829,-0.9439700284835878
240,-0.4335361170605549,0.7317948077927358,0.06170187139286124,-0.8363023145026858,-0.9929681890450226,-0.7226309649737321,-1.0428488998256182,-1.065156523656822,-1.0889851647121807,0.39217274680734515,-1.045356858050604,-1.0205882319395578,-0.9503894773658432,-0.7156874629402343,1.141055551400427,-0.9974709398567266,-1.0292626635554523,-0.8097896462160213,-0.9271812176658597,0.622521702072773,-0.9877535763742813,-1.1276450321245364,-0.9870887353721913,-0.7138726270816772,-0.8345551815054689,-0.011720136395774008,-1.1436070124360012,-0.8607290812589155,-0.9390525017638008,-1.051408486928112,-0.8147993864254792,-0.6549641110790957,-0.971261858934217,2.2215022336564614,-1.03005689888104,-0.46204335208444985,-1.0440270977955737,-0.6912762601211638,-0.9783341895356082,-0.9333691143490997,-0.32431868915199713,-0.7440147908665155,-0.8354068119567708,-0.8326391452778915,-0.6296369631713818,-0.925109715449336,-0.6797378361529302,-0.7275614217825603,-0.21081185246734366,-0.19521315076585966,-1.0249295491639907,1.7232619564812552,3.36475942555824,-1.0454380542101445,-0.9499396360054925,-0.385895418598792,-0.6417542365290074,-0.6106611020235356,-1.0049219136815772,-1.1072202358999181,-0.5138344598793769,0.8594948425497213,-1.119788680468781,-0.9545670908694388,-1.0087441159807624,-1.0194129584804072,-0.9634947414396445,-1.0674435907632178,-0.9114649999017167,2.5154555629565176,-1.047916016045249,-1.1139738454826118,-1.024236257640724,1.9963856207469142,-0.9756572581355601,0.47816218308698943,-1.0182684261703008,2.9963863174628353,-1.0305076289062365,-0.8041960606409078,-1.0604989011791426,-0.26589640359156624,-0.579180852461425,0.28933313934099125,-1.0162993121657329,1.48756097416672,-0.07038895645399718,-0.9217246457455182,0.12564336176746566,-0.7449749863287005,-0.9346949968214369,0.2107617522754798,-1.0212227401752236,1.359909964539694,-1.0768344805595291,-1.0766194451880235,-0.8701054943854984,-1.0188408600294032,-0.3301089493378809,2.6607800311588212,-0.5378743622870243,-1.0471993832696684,-0.1321751382159487,-1.0337594136217896,-1.0566580866003183,-0.3980263135842462,-0.9931385126031637,-0.8893555541681629,-0.7650230239245592,-0.9829238160280213,-0.9976881819996621,-0.8938003271546608,-0.871256421066549,-0.06844878625700065,-1.0385640432634018,1.0198482416797348,-0.6963849386996546,-0.46804753814393807,-1.0017019661075517,-1.0520448987771258
270,-0.46592502136676195,0.8183487616607654,0.08428838704265612,-0.9132579694165468,-1.095819963771939,-0.7893472271449902,-1.152854764204122,-1.174401549220138,-1.2010087575655555,0.44732230008694346,-1.1458891461319083,-1.1243149216785895,-1.047734889230098,-0.778083683703522,1.2651987228700257,-1.090583799377284,-1.1339108215981832,-0.8815569999887796,-1.0195808200084044,0.694521102674308,-1.0877145010680256,-1.2466286044116182,-1.0790282621131462,-0.774665875109598,-0.9081680026279542,0.0041391003765954325,-1.2674130004152036,-0.9369356498922925,-1.0255167769417752,-1.151350617350911,-0.8892120066633543,-0.7101376601714479,-1.0583703044937223,2.4379527441788,-1.1264609450238592,-0.5001689363691558,-1.1427852598220618,-0.7538562306810231,-1.0783135791392804,-1.0182031382454169,-0.3450290477073206,-0.8094835624764497,-0.9177572834823022,-0.9074640946808956,-0.6817322831497149,-1.0085656926415936,-0.7414573604999377,-0.7954249040165459,-0.22531053483784805,-0.19817006094566741,-1.13085499203127,1.8996209399627642,3.6620051707310752,-1.1508914524452867,-1.0415900435946956,-0.4131590946625846,-0.6982993895820069,-0.6598703697528376,-1.0966262552252821,-1.222391740984382,-0.5542272292471179,0.9540057210166769,-1.2385151449178418,-1.0501143923627905,-1.1021941929600443,-1.121307628699212,-1.047829934395839,-1.1773314925768532,-0.9980056618972376,2.753923279859351,-1.1583803795433312,-1.2315786304687029,-1.1205617771953138,2.195820885644157,-1.0711834636259052,0.5403970432572383,-1.1144796420340273,3.277884245944729,-1.1278639332587757,-0.8745436932649209,-1.169138881606656,-0.28546149785969505,-0.6248291938537935,0.3334705492574466,-1.109446703480337,1.6435187489841472,-0.0659145583400263,-1.004561962478644,0.15492455978077085,-0.8080395638009152,-1.0210498845588238,0.25210671364127357,-1.1178703357654918,1.5090935065118867,-1.1830175367127196,-1.1876493951573681,-0.9560648449370976,-1.1134195317608138,-0.3512400899568894,2.9151506292913574,-0.5801076719017507,-1.1461493258161533,-0.13489811030201637,-1.1307668787613443,-1.1678965162464956,-0.4230299215491643,-1.0874277466259834,-0.9687220544920736,-0.8313139946883965,-1.0700922580885783,-1.0981832132138587,-0.9814118085683561,-0.9487763445907405,-0.06378151181392873,-1.1427994389770804,1.1358304704577136,-0.755061163224226,-0.5049200225118253,-1.095655958118181,-1.153147369268954
